Comment,Description,Designator,Footprint,LibRef,Quantity
"SW_VCC","2Pin Header","SW3","2Pin-Header-Conn","SW_2Pin_100mil_Switch","1"
"50O+","Test Point 300 mil centers","TP3a","TP10x_Probe","TP_10x_Probe","1"
"50O-","Test Point 300 mil centers","TP3b","TP10x_Probe","TP_10x_Probe","1"
"+5V","Test Point 300 mil centers","TP4","TP10x_Probe","TP_10x_Probe","1"
"+3.3V","Test Point 300 mil centers","TP5","TP10x_Probe","TP_10x_Probe","1"
"328 RX","Test Point 300 mil centers","TP6a","TP10x_Probe","TP_10x_Probe","1"
"328 TX","Test Point 300 mil centers","TP6b","TP10x_Probe","TP_10x_Probe","1"
"D-","Test Point 300 mil centers","TP7a","TP10x_Probe","TP_10x_Probe","1"
"D+","Test Point 300 mil centers","TP7b","TP10x_Probe","TP_10x_Probe","1"
"MISO","Test Point 300 mil centers","TP8a","TP10x_Probe","TP_10x_Probe","1"
"MOSI","Test Point 300 mil centers","TP8b","TP10x_Probe","TP_10x_Probe","1"
"12MHz","Test Point 300 mil centers","TP9","TP10x_Probe","TP_10x_Probe","1"
"16MHz","Test Point 300 mil centers","TP10","TP10x_Probe","TP_10x_Probe","1"
"CH340G","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS","U1","USB to serial","U_USBtoSerial","1"
"ATMEGA328P-ANR","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)","U2","ATMega328P","U_ATMega328P","1"
"12MHz","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS","Y1","Crystal resonator","X_12MHz_Res","1"
"X322516MLB4SI","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS","Y2","Crystal resonator","X_16Mhz_Res","1"
